Tamaño (bits)	Media	Mediana	Mínimo	Máximo	Desviación estándar	Iteraciones media	Tasa éxito
24	0,000005	0,000000	0,000000	0,000500	0,000050	28,5	100,00%
32	0,000070	0,000000	0,000000	0,000500	0,000173	491,7	100,00%
40	0,001481	0,000500	0,000000	0,007500	0,001847	7715,8	100,00%
44	0,006807	0,004000	0,000000	0,030509	0,007225	33918,1	100,00%
48	0,023701	0,008007	0,000000	0,144036	0,030895	108321,2	100,00%
52	0,095357	0,040512	0,000000	0,562677	0,130333	431187,0	100,00%
56	0,512268	0,303624	0,000000	3,391006	0,596219	1935141,3	100,00%
60	1,939586	1,001542	0,000501	8,707216	2,187157	6856522,0	100,00%
64	10,674913	8,004427	0,001000	35,256840	10,675562	26026005,6	93,00%
68	20,990395	28,187136	0,002500	36,296332	14,922832	24677183,1	52,00%
72	26,602857	37,333835	0,028011	38,277855	15,479065	24066072,7	38,00%
76	28,798854	22,538535	0,001001	38,754441	9,621533	44049988,0	11,00%
80	21,287719	23,133545	0,013011	23,423573	5,543329	32175728,6	11,00%
92	22,879936	23,203805	5,999408	23,818818	1,727322	26531817,0	1,00%
