Tamaño (bits)	Media	Mediana	Mínimo	Máximo	Desviación estándar	Iteraciones media	Tasa éxito
24	0,000000	0,000000	0,000000	0,000000	0,000000	27,6	100,00%
32	0,000088	0,000000	0,000000	0,000584	0,000192	479,8	100,00%
40	0,001416	0,000500	0,000000	0,007516	0,001876	7494,5	100,00%
44	0,005434	0,003500	0,000000	0,023505	0,005332	28046,6	100,00%
48	0,019072	0,007329	0,000000	0,076375	0,021919	97758,5	100,00%
52	0,077808	0,036005	0,000000	0,355223	0,101509	415364,3	100,00%
56	0,342809	0,159568	0,000000	1,970250	0,377905	1851146,5	100,00%
60	1,336399	0,820655	0,000000	6,820223	1,491406	7200867,0	100,00%
64	5,736058	4,395808	0,000000	19,883935	5,756129	23853077,1	93,22%
68	13,212490	19,142664	0,015009	21,148621	8,520640	31628499,3	52,54%
72	16,356318	21,802534	0,017504	22,095089	8,568271	25062884,0	33,33%
76	20,900874	22,475891	0,000999	22,580566	5,076113	43726109,2	12,50%
80	20,866966	22,700498	0,437330	22,823831	5,734217	21796507,2	10,34%
92	22,938368	23,498621	6,252920	23,975553	2,213325	26531817,0	1,67%
104	N/A	N/A	N/A	N/A	N/A	N/A	0,00%
116	N/A	N/A	N/A	N/A	N/A	N/A	0,00%
128	N/A	N/A	N/A	N/A	N/A	N/A	0,00%
160	N/A	N/A	N/A	N/A	N/A	N/A	0,00%
192	N/A	N/A	N/A	N/A	N/A	N/A	0,00%
224	N/A	N/A	N/A	N/A	N/A	N/A	0,00%
256	N/A	N/A	N/A	N/A	N/A	N/A	0,00%
320	N/A	N/A	N/A	N/A	N/A	N/A	0,00%
384	N/A	N/A	N/A	N/A	N/A	N/A	0,00%
640	N/A	N/A	N/A	N/A	N/A	N/A	0,00%
768	N/A	N/A	N/A	N/A	N/A	N/A	0,00%
