Tamaño (bits)	Media	Mediana	Mínimo	Máximo	Desviación estándar	Iteraciones media	Tasa éxito
24	0,000085	0,000000	0,000000	0,001000	0,000201	99,8	99,00%
32	0,001295	0,000000	0,000000	0,028039	0,004003	762,7	100,00%
40	0,009171	0,000834	0,000000	0,095843	0,023323	1400,0	93,00%
44	0,019216	0,001500	0,000000	0,142552	0,036612	4021,2	93,00%
48	0,032742	0,003503	0,000000	0,193032	0,057685	4483,5	88,00%
52	0,055377	0,009253	0,000000	0,238057	0,080143	8699,1	86,00%
56	0,103918	0,033018	0,000000	0,297113	0,116468	12143,3	73,00%
60	0,112482	0,040758	0,000000	0,353703	0,121456	14971,2	73,00%
64	0,091438	0,129269	0,000501	0,251394	0,072562	9132,3	50,00%
68	0,109306	0,140021	0,000000	0,266571	0,070516	13757,9	43,00%
72	0,069511	0,084868	0,001010	0,158044	0,038337	9966,0	37,00%
76	0,055581	0,059016	0,001001	0,104029	0,021405	8905,0	23,00%
80	0,059529	0,060520	0,002501	0,109526	0,022748	7407,7	18,00%
92	0,038306	0,035703	0,007679	0,065016	0,010075	4508,0	5,00%
104	0,040132	0,038504	0,035999	0,069518	0,006035	N/A	0,00%
116	0,021288	0,020003	0,009505	0,037007	0,004117	2472,0	1,00%
128	0,014260	0,013505	0,013000	0,025002	0,002326	N/A	0,00%
