Tamaño (bits)	Media	Mediana	Mínimo	Máximo	Desviación estándar	Iteraciones media	Tasa éxito
24	0,000010	0,000000	0,000000	0,000500	0,000070	35,2	100,00%
32	0,000140	0,000000	0,000000	0,000501	0,000225	158,6	100,00%
40	0,000616	0,000501	0,000000	0,002000	0,000475	688,0	100,00%
44	0,001273	0,001001	0,000000	0,003000	0,000709	1226,6	100,00%
48	0,002815	0,002501	0,000499	0,008500	0,001622	2402,1	100,00%
52	0,006371	0,006000	0,000501	0,017517	0,003855	5175,2	100,00%
56	0,013359	0,011505	0,001001	0,051014	0,008024	9976,2	100,00%
60	0,038492	0,035871	0,002001	0,093559	0,020933	20708,2	100,00%
64	0,108142	0,099467	0,005501	0,271809	0,055706	42280,8	100,00%
68	0,206660	0,182596	0,025009	0,563258	0,122502	80465,4	100,00%
72	0,450091	0,417580	0,058862	1,457335	0,268185	162348,5	100,00%
76	1,088452	1,081598	0,077590	3,231671	0,496136	317334,1	100,00%
80	1,370608	1,246480	0,075516	6,700015	0,914520	679710,9	100,00%
92	21,740158	20,118801	1,675486	50,987642	11,479999	5349983,0	100,00%
104	59,051823	60,000277	13,147892	60,000836	5,354985	9204474,0	5,00%
