Tamaño (bits)	Media	Mediana	Mínimo	Máximo	Desviación estándar	Iteraciones media	Tasa éxito
24	0,000014	0,000000	0,000000	0,000500	0,000083	36,4	100,00%
32	0,000138	0,000000	0,000000	0,001002	0,000254	169,8	100,00%
40	0,000701	0,000503	0,000000	0,001542	0,000456	711,7	100,00%
44	0,001402	0,001500	0,000000	0,003500	0,000760	1247,3	100,00%
48	0,003068	0,003000	0,000500	0,008500	0,001759	2605,0	100,00%
52	0,006607	0,006000	0,000499	0,015556	0,003756	5324,6	100,00%
56	0,013373	0,012000	0,001500	0,032507	0,007086	10149,3	100,00%
60	0,030505	0,028507	0,001500	0,070521	0,015324	21901,9	100,00%
64	0,071225	0,070005	0,016005	0,150545	0,028368	46308,4	100,00%
68	0,134209	0,125557	0,031000	0,384972	0,072632	82608,8	100,00%
72	0,277465	0,251245	0,040442	0,567068	0,140628	161708,2	100,00%
76	0,572946	0,601788	0,042020	1,020510	0,235907	317708,1	100,00%
80	1,327353	1,231914	0,101030	4,000918	0,718906	701084,9	100,00%
92	12,845082	12,534757	2,220623	26,961462	6,427890	5704134,0	100,00%
104	57,657060	60,000250	20,026395	60,000896	7,804022	13990697,8	11,11%
116	60,000306	60,000302	60,000019	60,000998	0,000184	N/A	0,00%
128	60,000288	60,000263	60,000005	60,000937	0,000211	N/A	0,00%
160	60,000285	60,000264	60,000002	60,000969	0,000207	N/A	0,00%
192	60,000290	60,000305	60,000002	60,000932	0,000191	N/A	0,00%
224	60,000274	60,000294	60,000015	60,000997	0,000175	N/A	0,00%
256	60,000289	60,000277	60,000022	60,000981	0,000207	N/A	0,00%
320	60,000281	60,000242	60,000004	60,000937	0,000205	N/A	0,00%
